word,occurrences,frequency
fawk,1,0.008218952905399852
woodi,1,0.008218952905399852
imjn,1,0.008218952905399852
nunneri,1,0.008218952905399852
wgvus,1,0.008218952905399852
suzana,1,0.008218952905399852
witchdeiti,1,0.008218952905399852
idlewar,1,0.008218952905399852
politician,5,0.04109476452699926
wooden,4,0.03287581162159941
showcas,5,0.04109476452699926
wednesday,4,0.03287581162159941
tcbi,1,0.008218952905399852
multipurpos,1,0.008218952905399852
rlie,1,0.008218952905399852
20like,1,0.008218952905399852
thrace,3,0.024656858716199558
270,2,0.016437905810799704
sooth,1,0.008218952905399852
275,1,0.008218952905399852
surfnz,1,0.008218952905399852
dialogu,1,0.008218952905399852
starboy,1,0.008218952905399852
drkotobuki,1,0.008218952905399852
shocka,1,0.008218952905399852
succumb,1,0.008218952905399852
devilsporkchop,1,0.008218952905399852
chine,1,0.008218952905399852
erus,1,0.008218952905399852
china,20,0.16437905810799705
sexul,1,0.008218952905399852
shaperssurvey,1,0.008218952905399852
spotti,1,0.008218952905399852
yniteach,1,0.008218952905399852
oxymoron,1,0.008218952905399852
kidd,1,0.008218952905399852
controversi,5,0.04109476452699926
golden,13,0.10684638777019807
spastaboston,1,0.008218952905399852
sterl,19,0.1561601052025972
asklepio,1,0.008218952905399852
louisureneck,1,0.008218952905399852
asklepia,1,0.008218952905399852
dnf,1,0.008218952905399852
dna,1,0.008218952905399852
dnc,1,0.008218952905399852
dnb,1,0.008218952905399852
oudlncquimtendrgr,1,0.008218952905399852
dnn,1,0.008218952905399852
dni,1,0.008218952905399852
music,89,0.7314868085805868
dnp,1,0.008218952905399852
charliepelkey,1,0.008218952905399852
melanieminnaar,1,0.008218952905399852
griffinshockey,1,0.008218952905399852
yahof,1,0.008218952905399852
psxp,1,0.008218952905399852
yahoo,7,0.05753267033779896
seiz,1,0.008218952905399852
yahoy,1,0.008218952905399852
unpack,1,0.008218952905399852
grhsstuco,1,0.008218952905399852
mrvandenpol,2,0.016437905810799704
rcpt,1,0.008218952905399852
xxxsexnakedgirl,1,0.008218952905399852
homosoci,1,0.008218952905399852
locker,1,0.008218952905399852
ofth,1,0.008218952905399852
fuelsneak,1,0.008218952905399852
wana,1,0.008218952905399852
wang,1,0.008218952905399852
want,141,1.1588723596613792
kraig,1,0.008218952905399852
travel,164,1.3479082764855757
dowjon,1,0.008218952905399852
dannon,3,0.024656858716199558
eurogroup,3,0.024656858716199558
wholewheat,1,0.008218952905399852
wrong,9,0.07397057614859867
sedg,1,0.008218952905399852
mermaidsreadtoo,1,0.008218952905399852
prodig,1,0.008218952905399852
chinasex,1,0.008218952905399852
tulip,1,0.008218952905399852
goldenrivet1,1,0.008218952905399852
fis,1,0.008218952905399852
fiw,1,0.008218952905399852
fit,28,0.23013068135119585
fix,7,0.05753267033779896
inap,1,0.008218952905399852
fic,1,0.008218952905399852
fia,1,0.008218952905399852
fig,1,0.008218952905399852
ohiday,7,0.05753267033779896
geva,1,0.008218952905399852
gevo,1,0.008218952905399852
fii,1,0.008218952905399852
fin,1,0.008218952905399852
fio,1,0.008218952905399852
fil,1,0.008218952905399852
fim,1,0.008218952905399852
athensrock,1,0.008218952905399852
sixteen,2,0.016437905810799704
arkto,1,0.008218952905399852
arrog,1,0.008218952905399852
